symbol,enthalpy_thermal_contribution_298K,enthalpy_thermal_contribution_298K_uncertainty
Ag,1.3731,0.005
Al,1.0851,0.005
Ar,1.4811,0.0002
B,0.2921,0.002
Be,0.4661,0.005
Br,2.9302,0.001
C,0.251,0.005
Ca,1.3709,0.01
Cd,1.4931,0.004
Cl,1.0972,0.0001
Cs,1.843,0.005
Cu,1.196,0.002
F,1.0546,0.0001
Ge,1.108,0.005
H,1.012,0.0001
He,1.4811,0.0002
Hg,2.2328,0.002
I,1.577,0.005
K,1.6941,0.005
Kr,1.4811,0.0002
Li,1.1071,0.01
Mg,1.1946,0.007
N,1.0361,0.0001
Na,1.544,0.005
Ne,1.4811,0.0002
O,1.0373,0.0002
P,1.2811,0.004
Pb,1.642,0.007
Rb,1.7899,0.005
S,1.0545,0.001
Si,0.7689,0.002
Sn,1.5112,0.002
Th,1.5177,0.01
Ti,1.153,0.004
U,1.521,0.005
Xe,1.4811,0.0002
Zn,1.3521,0.005
